customer_id,first_name,last_name,date_of_birth,gender
1,Julie,Sam,12/01/89,F
2,Steve,Ryan,03/04/83,M
3,Morris,Lois,09/12/93,M
4,Cathenna,Emily,14/09/77,F
5,Aaron,Kim,18/02/91,M
6,Alexander,Scot,12/02/85,M
7,Anderson,Stewart,11/01/92,M
8,Floyd,Ted,21/02/93,M
9,Leo,Travis,22/03/94,M
10,Melvin,Tracy,23/04/95,M
11,Roger,Walson,24/05/96,M
12,Shirley,Wally,25/06/97,F
13,Solomon,Walter,26/07/98,M
14,Carol,Vernon,27/08/99,F
15,Linda,William,28/09/86,F
16,Chirstine,Willis,06/10/87,F
17,Catherine,Shad,09/11/88,F
18,Gloria,Richie,04/12/89,F
19,Joyce,Paul,02/06/90,F
20,Sara,Oliver,01/01/91,F
21,Chirsty,Josh,10/01/04,M
22,Pheny,Eri,29/01/99,M
23,Erwin,Tosh,03/02/94,M
24,Calvin,Willis,15/02/94,M
25,Moss,Morris,18/02/11,M
26,Bryan,Collin,28/02/11,M
27,Cherly,Vernon,19/03/92,F
28,Du plesis,Chris,17/04/94,M
29,Watson,Ronald,11/01/91,M
30,Donack,Dukins,19/02/91,M
31,James,Robert,12/04/94,M
32,Chirstoper,Sean,21/06/93,M
33,Mark,Ethan,22/05/94,M
34,Jacqueline,Keith,23/04/94,F
35,Jeffrey,Aaron,24/02/91,M
36,Kayla,Patrick,27/02/93,F
37,Samuel,Scott,28/01/00,M
38,Alexis,Scott,31/10/01,M
39,Tyler,Edward,30/11/06,M
40,Adam,Paul,31/12/07,M
41,Kyle,Mark,29/11/04,F
42,Roger,Mattew,28/11/08,M
43,Joe,Daniel,27/03/01,M
44,Bily,Brian,26/10/02,M
45,Doris,Walter,23/12/93,M
46,Louis,Douglas,22/09/97,M
47,Sophia,Carl,11/08/99,F
48,Wayne,Noah,02/07/98,F
49,Russell,Peter,01/06/96,M
50,Rose,Arthur,23/05/96,F
